ammend_order_buy_average,ammend_order_sell_average,cancel_order_buy_average,cancel_order_sell_average,execute_order_buy_average,execute_order_sell_average,new_order_buy_average,new_order_sell_average,time_index_volume
-2.1477,-2.0563,-1.0491,-1.0326,-2.0251,-2.1994,-0.9138,-0.9036,2016-04-29 07:00:11.102000$$2016-04-29 07:05:11.794
-1.4638,-1.2849,-1.3952,-1.2849,-1.9284,-2.0575,-0.9796,-1.1429,2016-04-29 07:05:11.794000$$2016-04-29 07:10:12.100
-1.6061,-1.565,-1.1277,-1.1263,-2.4149,-2.5219,-0.9515,-0.951,2016-04-29 07:10:12.100000$$2016-04-29 07:15:12.204
-1.6576,-2.0637,-1.0113,-0.9084,-3.2812,-3.1135,-0.8964,-0.8547,2016-04-29 07:15:12.204000$$2016-04-29 07:20:12.241
-1.9552,-2.0581,-0.9125,-0.9143,-3.7044,-3.4599,-0.8386,-0.8208,2016-04-29 07:20:12.241000$$2016-04-29 07:25:15.286
-2.1646,-1.9636,-0.8429,-0.952,-3.2255,-3.0986,-0.8795,-0.8473,2016-04-29 07:25:15.286000$$2016-04-29 07:30:15.427
-1.6971,-1.8148,-1.0379,-0.9093,-3.1888,-3.0516,-0.8642,-0.9492,2016-04-29 07:30:15.427000$$2016-04-29 07:35:17.282
-1.7664,-1.9213,-1.0986,-0.9273,-2.8163,-2.7269,-0.8303,-0.9352,2016-04-29 07:35:17.282000$$2016-04-29 07:40:17.603
-1.6245,-1.7114,-0.9767,-0.9542,-3.2859,-3.2229,-0.9441,-0.9303,2016-04-29 07:40:17.603000$$2016-04-29 07:45:17.677
-1.8704,-1.6385,-0.8408,-1.0954,-3.1051,-2.9768,-0.9949,-0.8666,2016-04-29 07:45:17.677000$$2016-04-29 07:50:23.729
-1.9021,-1.6758,-0.8922,-0.9642,-3.6069,-3.5779,-0.8823,-0.9073,2016-04-29 07:50:23.729000$$2016-04-29 07:55:24.527
-1.9556,-1.823,-0.8956,-0.8972,-4.3535,-4.5799,-0.8271,-0.8663,2016-04-29 07:55:24.527000$$2016-04-29 08:00:26.125
-2.0295,-1.8521,-0.9595,-0.8915,-3.6221,-3.6847,-0.7791,-0.8966,2016-04-29 08:00:26.125000$$2016-04-29 08:05:26.968
-1.9241,-2.0305,-0.9104,-0.8458,-3.4881,-3.6288,-0.865,-0.8844,2016-04-29 08:05:26.968000$$2016-04-29 08:10:28.664
-1.9497,-2.0427,-0.9051,-0.8726,-3.1894,-3.4514,-0.8868,-0.8657,2016-04-29 08:10:28.664000$$2016-04-29 08:15:35.865
-1.9086,-1.9489,-0.9278,-0.8791,-3.3749,-3.6019,-0.8626,-0.8791,2016-04-29 08:15:35.865000$$2016-04-29 08:20:36.501
-1.8996,-2.0472,-0.8407,-0.9276,-3.7967,-3.9931,-0.9251,-0.7831,2016-04-29 08:20:36.501000$$2016-04-29 08:25:41.730
-1.7481,-1.8517,-0.9675,-0.9038,-2.8227,-2.9139,-0.9509,-0.9578,2016-04-29 08:25:41.730000$$2016-04-29 08:30:46.775
-1.7425,-2.1006,-0.9062,-1.0116,-3.3911,-3.3534,-0.9488,-0.736,2016-04-29 08:30:46.775000$$2016-04-29 08:35:47.006
-2.2044,-2.0389,-0.9066,-0.8532,-3.3358,-3.5205,-0.7981,-0.8814,2016-04-29 08:35:47.006000$$2016-04-29 08:40:47.304
-2.2458,-1.8083,-0.7928,-1.0545,-3.8214,-3.7054,-0.8682,-0.7698,2016-04-29 08:40:47.304000$$2016-04-29 08:45:47.464
-1.9387,-2.1241,-0.9642,-0.8034,-3.4681,-3.7023,-0.8127,-0.8966,2016-04-29 08:45:47.464000$$2016-04-29 08:51:12.601
-1.8475,-2.1401,-0.8134,-0.8244,-3.5214,-3.4393,-0.9957,-0.8873,2016-04-29 08:51:12.601000$$2016-04-29 08:56:12.602
-2.6969,-2.0307,-0.5867,-0.9808,-3.5723,-3.4657,-1.0546,-0.7711,2016-04-29 08:56:12.602000$$2016-04-29 09:01:18.537
-2.1662,-2.276,-1.0188,-0.8319,-2.8593,-3.018,-0.7613,-0.8838,2016-04-29 09:01:18.537000$$2016-04-29 09:06:19.406
-2.4925,-1.9299,-0.7472,-1.0062,-3.7917,-4.1271,-0.865,-0.7484,2016-04-29 09:06:19.406000$$2016-04-29 09:11:19.707
-2.4365,-1.9165,-0.8473,-0.8824,-3.2728,-3.5104,-0.8073,-0.8936,2016-04-29 09:11:19.707000$$2016-04-29 09:16:21.551
-2.136,-2.3933,-0.9555,-0.8299,-2.9527,-3.1378,-0.8096,-0.8458,2016-04-29 09:16:21.551000$$2016-04-29 09:21:22.224
-2.1323,-2.0511,-0.8463,-1.0087,-3.1308,-2.9235,-0.8947,-0.7919,2016-04-29 09:21:22.224000$$2016-04-29 09:26:22.827
-2.0452,-2.0484,-0.977,-0.9231,-2.6642,-2.7651,-0.8567,-0.8897,2016-04-29 09:26:22.827000$$2016-04-29 09:31:24.649
-1.9761,-2.0026,-0.9558,-0.793,-4.2097,-4.0681,-0.7721,-0.9278,2016-04-29 09:31:24.649000$$2016-04-29 09:36:24.807
-2.1286,-1.788,-0.7803,-1.0026,-3.4429,-3.3749,-0.9397,-0.8404,2016-04-29 09:36:24.807000$$2016-04-29 09:41:31.002
-2.6647,-2.2005,-0.7653,-0.8827,-4.6571,-4.3406,-0.7859,-0.771,2016-04-29 09:41:31.002000$$2016-04-29 09:46:42.528
-2.0308,-2.0217,-1.0228,-0.8198,-3.0524,-3.0803,-0.7723,-0.9647,2016-04-29 09:46:42.528000$$2016-04-29 09:51:45.915
-2.1662,-2.0308,-0.8473,-0.8788,-3.4558,-3.4558,-0.8551,-0.8629,2016-04-29 09:51:45.915000$$2016-04-29 09:56:49.092
-2.3461,-1.351,-0.7441,-1.0843,-5.6419,-5.6276,-0.8544,-0.9181,2016-04-29 09:56:49.092000$$2016-04-29 10:01:49.631
-2.4001,-1.6367,-0.9337,-0.9609,-3.142,-3.1068,-0.7487,-0.9727,2016-04-29 10:01:49.631000$$2016-04-29 10:06:51.277
-2.1178,-1.7508,-0.906,-1.0023,-2.8754,-2.7191,-0.8695,-0.9329,2016-04-29 10:06:51.277000$$2016-04-29 10:11:52.100
-1.4263,-1.7216,-1.0696,-0.9679,-3.2387,-3.1079,-0.9743,-0.9247,2016-04-29 10:11:52.100000$$2016-04-29 10:16:56.229
-2.1272,-1.835,-0.8713,-0.9863,-3.1226,-2.8936,-0.8713,-0.8866,2016-04-29 10:16:56.229000$$2016-04-29 10:21:56.553
-2.1484,-2.0431,-0.9094,-0.8829,-3.3212,-3.2158,-0.8109,-0.8755,2016-04-29 10:21:56.553000$$2016-04-29 10:26:57.807
-2.2385,-1.9621,-0.8609,-0.9023,-3.1209,-3.0325,-0.8522,-0.9023,2016-04-29 10:26:57.807000$$2016-04-29 10:31:57.819
-2.1195,-1.7037,-0.9451,-0.9297,-3.4188,-3.4843,-0.7798,-0.9349,2016-04-29 10:31:57.819000$$2016-04-29 10:36:58.018
-2.0535,-1.7265,-0.9399,-0.9123,-3.4398,-3.5183,-0.8008,-0.9395,2016-04-29 10:36:58.018000$$2016-04-29 10:42:06.254
-2.4596,-1.8642,-0.8303,-1.0339,-2.6827,-2.618,-0.891,-0.8761,2016-04-29 10:42:06.254000$$2016-04-29 10:47:12.601
-2.2873,-1.9051,-0.8638,-0.9343,-3.1448,-3.1781,-0.8351,-0.8755,2016-04-29 10:47:12.601000$$2016-04-29 10:52:13.838
-2.2618,-1.9973,-0.9409,-0.9117,-2.7291,-2.7819,-0.8203,-0.915,2016-04-29 10:52:13.838000$$2016-04-29 10:57:14.518
-2.5296,-2.0031,-0.7762,-0.911,-2.7447,-2.7568,-0.9266,-0.9176,2016-04-29 10:57:14.518000$$2016-04-29 11:02:16.102
-2.1107,-1.9658,-1.1131,-1.2727,-2.3381,-2.2535,-0.7901,-0.7448,2016-04-29 11:02:16.102000$$2016-04-29 11:07:16.246
-2.5055,-1.4773,-0.8473,-0.9383,-inf,-inf,-0.7138,-0.9664,2016-04-29 11:07:16.246000$$2016-04-29 11:12:19.509
-2.3838,-2.0149,-0.9234,-0.8943,-3.2142,-3.276,-0.7541,-0.8675,2016-04-29 11:12:19.509000$$2016-04-29 11:17:22.053
-2.1151,-1.8888,-0.9641,-1.0179,-2.5287,-2.4518,-0.8716,-0.9131,2016-04-29 11:17:22.053000$$2016-04-29 11:22:22.101
-1.6774,-1.2238,-0.9479,-1.1338,-3.2685,-3.2685,-0.9479,-1.0613,2016-04-29 11:22:22.101000$$2016-04-29 11:27:23.619
