best_ask,best_bid,time_index,top_buy_price_points,top_sell_price_points
768861.0,772468.0,2016-04-29 07:20:01.027000$$2016-04-29 07:20:31.204,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,3411.0,"
265356.0,266604.0,2016-04-29 07:20:31.204000$$2016-04-29 07:21:02.101,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,3411.0,"
333315.0,334964.0,2016-04-29 07:21:02.101000$$2016-04-29 07:21:34.129,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
370709.0,372562.0,2016-04-29 07:21:34.129000$$2016-04-29 07:22:09.616,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
737635.0,741706.0,2016-04-29 07:22:09.616000$$2016-04-29 07:22:41.520,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3399.0,3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,"
217536.0,218752.0,2016-04-29 07:22:41.520000$$2016-04-29 07:23:21.095,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3399.0,3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,"
645789.0,649420.0,2016-04-29 07:23:21.095000$$2016-04-29 07:23:51.443,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3399.0,3400.0,3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,"
506738.0,509282.0,2016-04-29 07:23:51.443000$$2016-04-29 07:24:24.676,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
112233.0,112794.0,2016-04-29 07:24:24.676000$$2016-04-29 07:25:10.049,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
108832.0,109376.0,2016-04-29 07:25:10.049000$$2016-04-29 07:25:46.628,"3418.0,3415.0,3414.0,3413.0,3412.0,3411.0,3410.0,3408.0,3405.0,3404.0,","3401.0,3402.0,3403.0,3404.0,3405.0,3406.0,3407.0,3408.0,3409.0,3410.0,"
