cancel_order_buy_price,cancel_order_buy_volume,cancel_order_sell_price,cancel_order_sell_volume,execute_order_buy_price,execute_order_buy_volume,execute_order_sell_price,execute_order_sell_volume,new_order_buy_price,new_order_buy_volume,new_order_sell_price,new_order_sell_volume,time_index_volume
8.1273,-inf,8.1427,-inf,8.1378,3.9568,8.1284,4.1255,8.1325,5.7631,8.1408,5.9631,2016-04-29 07:00:11.102000$$2016-04-29 07:05:11.794
8.1313,-inf,8.1356,-inf,8.1331,4.2194,8.1331,4.2194,8.1317,4.844,8.1354,4.6874,2016-04-29 07:05:11.794000$$2016-04-29 07:10:12.100
8.1305,-inf,8.134,-inf,8.1322,4.15,8.1322,4.15,8.1304,5.442,8.1338,4.9144,2016-04-29 07:10:12.100000$$2016-04-29 07:15:12.204
8.1298,-inf,8.1336,-inf,8.1319,4.4236,8.1319,4.4236,8.1296,5.3994,8.1335,5.3337,2016-04-29 07:15:12.204000$$2016-04-29 07:20:12.241
8.1294,-inf,8.1329,-inf,8.131,4.628,8.131,4.628,8.1293,5.3378,8.1329,5.1063,2016-04-29 07:20:12.241000$$2016-04-29 07:25:15.286
8.1286,-inf,8.1323,-inf,8.1299,4.555,8.1299,4.555,8.1282,5.4455,8.1314,4.7684,2016-04-29 07:25:15.286000$$2016-04-29 07:30:15.427
8.129,-inf,8.1322,-inf,8.1304,4.2879,8.1304,4.2879,8.1292,5.0967,8.1324,5.5439,2016-04-29 07:30:15.427000$$2016-04-29 07:35:17.282
8.1299,-inf,8.1333,-inf,8.1317,4.0472,8.1317,4.0472,8.1305,4.7273,8.1336,5.4496,2016-04-29 07:35:17.282000$$2016-04-29 07:40:17.603
8.1314,-inf,8.1351,-inf,8.1336,4.5819,8.1336,4.5819,8.1324,4.9809,8.1356,5.4871,2016-04-29 07:40:17.603000$$2016-04-29 07:45:17.677
8.1333,-inf,8.1365,-inf,8.135,4.26,8.135,4.26,8.1331,5.3695,8.1358,4.9909,2016-04-29 07:45:17.677000$$2016-04-29 07:50:23.729
8.1328,-inf,8.1361,-inf,8.1344,4.6681,8.1344,4.6681,8.1326,5.348,8.1356,5.3154,2016-04-29 07:50:23.729000$$2016-04-29 07:55:24.527
